EOS_id,Drug_name,MoA,Target_name,is_hit_3D,n_features_active,activity_RMS_2D,activity_RMS_3D,rank_2D_n_active_pct,rank_2D_RMS_pct,rank_3D_RMS_pct
EOS102387,PD148028,,Replicase polyprotein 1ab,False,48,1.6699120385064616,0.6731237347160812,7.414965986394558,5.850340136054422,9.523809523809524
EOS100001,VINCRISTINE,inhibitor,Tubulin beta-5 chain;Tubulin alpha-4A chain,False,314,5.513057704777139,1.1117028644397555,96.4625850340136,95.23809523809523,62.72108843537415
EOS102224,PD129987,,,False,47,1.6972752528214068,0.5541905494368071,6.394557823129252,7.210884353741497,0.9523809523809524
EOS100019,BISACODYL,negative modulator;inhibitor,Hypoxia-inducible factor 1-alpha;Cytochrome P450 3A4;Prelamin-A/C;Signal transducer and activator of transcription 6;Lysine-specific demethylase 4E;Thyrotropin receptor;Lethal factor;Cytochrome P450 2C9;G-protein coupled receptor 55;Bile salt export pump;Kappa-type opioid receptor;Sodium-dependent dopamine transporter;Aquaporin-3;Sodium/potassium-transporting ATPase,False,46,1.763510084036617,1.0968589570088616,5.442176870748299,11.156462585034014,61.49659863945578
EOS100022,BX-795,inhibitor,"Serine/threonine-protein kinase TBK1;Glycogen synthase kinase-3 beta;[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial;Serine/threonine-protein kinase Chk1;Vascular endothelial growth factor receptor 2;Cyclin-dependent kinase 2;protein kinase A;Inhibitor of nuclear factor kappa-B kinase subunit epsilon;3-phosphoinositide-dependent protein kinase 1;Cyclic GMP-AMP synthase;Serine/threonine-protein kinase ULK2;Serine/threonine-protein kinase ULK1",False,188,3.7186808228669705,0.8883334551769902,63.06122448979592,75.23809523809524,39.86394557823129
EOS100030,GW806742X,inhibitor;binding agent;inhibitor,Aurora kinase A;Mixed lineage kinase domain-like protein;Vascular endothelial growth factor receptor 2,False,246,4.667501007195364,0.6233117385379147,84.21768707482993,88.843537414966,4.8979591836734695
EOS100035,GSK180736A,,Ribosomal protein S6 kinase alpha-1;Beta-adrenergic receptor kinase 1;G protein-coupled receptor kinase 5;Ribosomal protein S6 kinase beta-1;Rho-associated protein kinase 1,False,114,2.4416079192663513,1.9484423640899404,41.08843537414966,43.40136054421769,92.10884353741497
EOS100037,CCT128930,,RAC-beta serine/threonine-protein kinase;Cytochrome P450 2C9;Cytochrome P450 2D6;Ribosomal protein S6 kinase beta-1;Glycogen synthase kinase-3 beta;RAC-alpha serine/threonine-protein kinase,False,209,3.2264465128995123,1.148061769804573,71.49659863945578,62.99319727891156,65.578231292517
EOS100045,GNE-3511,inhibitor,Mitogen-activated protein kinase kinase kinase 9;Mitogen-activated protein kinase kinase kinase 11;Mitogen-activated protein kinase kinase kinase 12;Mitogen-activated protein kinase 9;Ribosomal protein S6 kinase beta-1;Mitogen-activated protein kinase kinase kinase 13;Mitogen-activated protein kinase 8;Mitogen-activated protein kinase 10;Mitogen-activated protein kinase kinase kinase 10,False,222,3.76185095130197,1.1373773815124648,76.12244897959184,77.00680272108843,64.21768707482994
EOS100074,SNX-2112,,"Heat shock protein HSP90;Heat shock protein HSP 90-alpha;Heat shock protein 75 kDa, mitochondrial;Heat shock protein HSP 90-beta;Endoplasmin",False,190,3.087391469070313,0.7761242934594305,64.14965986394557,60.544217687074834,24.081632653061224
EOS100135,ETRAVIRINE,inhibitor,Reverse transcriptase/RNaseH;Cruzipain;ATP-binding cassette sub-family C member 2;Potassium voltage-gated channel subfamily H member 2;Reverse transcriptase;ATP-dependent translocase ABCB1;ATP-binding cassette sub-family C member 3;Multidrug resistance-associated protein 1;Broad substrate specificity ATP-binding cassette transporter ABCG2,False,218,3.8372004211996495,0.6083195104971966,74.62585034013605,78.0952380952381,4.081632653061225
EOS101981,DHCAA,,Adenosylhomocysteinase,False,97,2.070559246660561,0.8060332435523139,33.06122448979592,25.850340136054424,28.57142857142857
EOS101943,PD120955,,Mannose-6-phosphate isomerase;Phosphoethanolamine/phosphocholine phosphatase,False,47,1.6748701063344422,0.668484328842827,6.394557823129252,6.122448979591836,8.571428571428571
EOS101917,PD120707,,E3 ubiquitin-protein ligase NEDD4,False,108,2.2397214116199913,0.7110125434920274,37.755102040816325,33.46938775510204,14.69387755102041
EOS101909,WAY-359195,,"Apoptotic protease-activating factor 1;Retinal dehydrogenase 1;Lysosomal alpha-glucosidase;15-hydroxyprostaglandin dehydrogenase [NAD(+)];Lysine-specific demethylase 4E;ATP-dependent DNA helicase Q1;Replicative DNA helicase;Sentrin-specific protease 8;Thioredoxin glutathione reductase;Caspase-9;Caspase-3;Sentrin-specific protease 7;Caspase-6;Caspase-8;Tyrosyl-DNA phosphodiesterase 2;Sentrin-specific protease 6;SUMO-activating enzyme;Bloom syndrome protein;M-phase inducer phosphatase 2;Putative fructose-1,6-bisphosphate aldolase;Menin/Histone-lysine N-methyltransferase MLL;Protein RecA;Microtubule-associated protein tau;Thyroid hormone receptor beta;Caspase-7",False,154,2.7802519610337235,1.0076490830835034,52.721088435374156,53.06122448979592,53.605442176870746
EOS101908,PD119560,,Dihydrofolate reductase;Bifunctional dihydrofolate reductase-thymidylate synthase,False,112,2.2752050626190745,0.9587365268991747,39.86394557823129,35.64625850340136,48.57142857142857
EOS101885,PD121254,,"Indoleamine 2,3-dioxygenase 1",False,94,2.3395437210828587,0.628532536485376,31.83673469387755,38.63945578231293,5.3061224489795915
EOS101872,NSC 44625,,"Carbonic anhydrase;Carbonic anhydrase 2;Carbonic anhydrase 7;Carbonic anhydrase 9;Carbonic anhydrase 1;Carbonic anhydrase 4;Carbonic anhydrase 14;Carbonic anhydrase 6;Carbonic anhydrase 5A, mitochondrial;Carbonic anhydrase, alpha family;Carbonic anhydrase 12;Carbonic anhydrase 5B, mitochondrial;Beta-carbonic anhydrase 1;Carbonic anhydrase 15",False,45,1.7365547743966816,0.8588314889529024,4.489795918367347,9.659863945578232,35.23809523809524
EOS101857,PD121172,,"Heat shock protein 90, putative;Nuclear receptor ROR-gamma;Heat shock protein HSP 90-alpha;Streptokinase A;ATP-dependent molecular chaperone HSP82",False,202,3.38045597894327,0.8290866914784601,68.70748299319727,66.53061224489795,31.700680272108844
EOS100542,AMG-18,,Serine/threonine-protein kinase/endoribonuclease IRE1;Mitogen-activated protein kinase 10,False,131,2.7602998058341472,1.1959817324551036,45.78231292517007,52.244897959183675,69.52380952380952
EOS102437,DIPHYLLIN,,Prelamin-A/C;Huntingtin;Retinal dehydrogenase 1;Nuclear receptor ROR-gamma;Microtubule-associated protein tau;15-hydroxyprostaglandin dehydrogenase [NAD(+)];Lysine-specific demethylase 4E;Lethal factor;Neuropeptide S receptor;ATP-dependent molecular chaperone HSP82,False,239,4.189822588756155,1.8036722139290962,81.9047619047619,83.40136054421768,90.74829931972789
EOS102420,SID 7969543,,Thyrotropin receptor;Cruzipain;3-hydroxyacyl-CoA dehydrogenase type-2;Lysine-specific demethylase 4E;Retinal dehydrogenase 1;Steroidogenic factor 1,False,77,1.907916948649467,0.7152498355467746,25.102040816326532,19.86394557823129,15.374149659863946
EOS100595,AFATINIB,inhibitor,"Epidermal growth factor receptor;Receptor tyrosine-protein kinase erbB-2;Tyrosine-protein kinase Blk;Receptor tyrosine-protein kinase erbB-3;Mitogen-activated protein kinase 14;Adenosine kinase;Receptor-type tyrosine-protein kinase FLT3;Ribosomal protein S6 kinase alpha-6;MAP kinase-interacting serine/threonine-protein kinase 2;Ephrin type-A receptor 6;Dual specificity mitogen-activated protein kinase kinase 5;Myosin light chain kinase, smooth muscle;Tyrosine-protein kinase TXK;Dual specificity tyrosine-phosphorylation-regulated kinase 1B;Casein kinase I isoform epsilon;Dual specificity tyrosine-phosphorylation-regulated kinase 1A;Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform;STE20-like serine/threonine-protein kinase;Ephrin type-B receptor 6;Tyrosine-protein kinase FRK;MAP kinase-interacting serine/threonine-protein kinase 1;Tyrosine-protein kinase HCK;Hepatocyte growth factor receptor;Phosphorylase b kinase gamma catalytic chain, liver/testis isoform;Receptor tyrosine-protein kinase erbB-4;Interleukin-1 receptor-associated kinase 1;Mitogen-activated protein kinase 9;Mitogen-activated protein kinase 11;Dual specificity tyrosine-phosphorylation-regulated kinase 2;Serine/threonine-protein kinase 17A;Tyrosine-protein kinase ABL1;Serine/threonine-protein kinase SBK1;Tyrosine-protein kinase receptor UFO;MAP kinase-activated protein kinase 2;Cyclin-G-associated kinase;Serine/threonine-protein kinase 10;Proto-oncogene tyrosine-protein kinase LCK;Citron Rho-interacting kinase;Receptor-interacting serine/threonine-protein kinase 2;Proto-oncogene tyrosine-protein kinase Src;Mitogen-activated protein kinase 10;Homeodomain-interacting protein kinase 4",False,177,3.0926208408858114,1.7276690035157445,58.77551020408164,60.816326530612244,88.57142857142857
EOS100590,PF-3845,inhibitor,Fatty-acid amide hydrolase 1,False,152,2.7175136827065334,1.0687172199580217,51.63265306122449,51.156462585034014,59.455782312925166
