EOS_id,Drug_name,MoA,activity_RMS_3D,rank_3D_RMS_pct,n_features_active,rank_2D_n_active_pct,activity_RMS_2D,rank_2D_RMS_pct
EOS101941,PD027679,,3.3586332891167343,99.72789115646259,269,88.23129251700679,4.896974937172814,90.61224489795919
EOS102343,DEQUALINIUM,antagonist;antagonist;blocker;antagonist;inhibitor;inhibitor,2.9139860537661177,99.45578231292517,60,17.346938775510203,1.8558227780535979,17.414965986394556
EOS102103,COUMARIN 7,,2.768599036748079,99.18367346938776,79,26.258503401360546,2.1977087783588445,32.10884353741497
EOS101548,OTS964,inhibitor,2.671318962537707,98.91156462585035,237,81.22448979591836,4.597617716042539,88.43537414965986
EOS100538,DOVITINIB,inhibitor,2.6375011848565717,98.77551020408163,102,34.69387755102041,2.408059001110234,41.49659863945578
EOS100555,ELLIPTICINE,,2.633602679894319,98.63945578231292,314,96.4625850340136,5.590163239289093,95.64625850340136
EOS101430,OMACETAXINE MEPESUCCINATE,antagonist,2.6262553282225025,98.50340136054422,312,95.91836734693877,5.739553970142967,96.19047619047619
EOS100486,G-5555,,2.6181936137007025,98.36734693877551,319,97.00680272108843,5.348135347535401,93.60544217687075
EOS101988,GELDANAMYCIN,inhibitor,2.614934319035503,98.2312925170068,259,85.91836734693878,3.943992603076486,79.59183673469387
EOS100175,F16,,2.5991361101931236,98.09523809523809,267,87.95918367346938,6.114782868261698,97.95918367346938
EOS101788,ZOTIRACICLIB,inhibitor,2.5916020757521516,97.95918367346938,293,93.46938775510203,5.8492181038469155,96.5986394557823
EOS101070,ABT-702,inhibitor,2.5608680743396417,97.82312925170068,85,29.04761904761905,2.179227487641549,31.292517006802722
EOS100198,RETASPIMYCIN,inhibitor,2.529843681111483,97.68707482993197,281,90.61224489795919,4.058460076121138,81.49659863945578
EOS101630,BENZO[A]PYRENE,,2.5060763400555395,97.55102040816327,217,74.08163265306122,3.7427912549492652,76.05442176870748
EOS101855,ML351,inhibitor,2.4263411027183674,97.41496598639455,66,20.272108843537413,1.8813058231485607,18.367346938775512
EOS100193,ALVESPIMYCIN,inhibitor,2.4245805137216445,97.27891156462584,203,69.18367346938776,3.387839965775485,66.80272108843538
EOS100387,METERGOLINE,antagonist;inverse agonist;inhibitor,2.403603554040288,97.00680272108843,114,41.08843537414966,2.303790955190975,36.87074829931973
EOS101498,A-196,inhibitor,2.3367533818692494,96.5986394557823,150,51.156462585034014,2.6050559513332634,47.89115646258503
EOS100124,XL228,inhibitor,2.318351111901853,96.3265306122449,255,85.3061224489796,4.515032411610304,87.21088435374149
EOS100115,DELANZOMIB,,2.305931495813127,96.05442176870748,396,100.0,8.716871488883399,100.0
EOS101302,ENTOSPLETINIB,inhibitor,2.304204839859086,95.91836734693877,99,33.53741496598639,2.2125594564425697,32.244897959183675
EOS101776,LOSMAPIMOD,inhibitor,2.232372566563935,95.23809523809523,45,4.489795918367347,1.6305385253887856,3.537414965986395
EOS102117,PD129966,,2.173776116755578,94.82993197278911,66,20.272108843537413,1.861684110169487,17.687074829931973
EOS100871,ETP-46464,,2.1509093042565617,94.42176870748298,213,72.58503401360544,3.5817565505852578,72.38095238095238
EOS101195,AZT,,2.1163369764715574,94.14965986394557,158,54.14965986394557,2.654103114092726,49.65986394557823
